FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD
01/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,2
02/01/2022,25,CUNDINAMARCA,25175,CHIA,1
02/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,2
03/01/2022,25,CUNDINAMARCA,25175,CHIA,1
03/01/2022,25,CUNDINAMARCA,25214,COTA,3
03/01/2022,25,CUNDINAMARCA,25295,GACHANCIPA,1
03/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,1
04/01/2022,25,CUNDINAMARCA,25175,CHIA,2
04/01/2022,25,CUNDINAMARCA,25214,COTA,1
04/01/2022,25,CUNDINAMARCA,25486,NEMOCON,1
04/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,5
05/01/2022,25,CUNDINAMARCA,25126,CAJICA,2
05/01/2022,25,CUNDINAMARCA,25175,CHIA,2
05/01/2022,25,CUNDINAMARCA,25214,COTA,2
05/01/2022,25,CUNDINAMARCA,25817,TOCANCIPA,1
06/01/2022,25,CUNDINAMARCA,25175,CHIA,2
06/01/2022,25,CUNDINAMARCA,25214,COTA,3
06/01/2022,25,CUNDINAMARCA,25758,SOPO,2
06/01/2022,25,CUNDINAMARCA,25817,TOCANCIPA,1
06/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,1
07/01/2022,25,CUNDINAMARCA,25126,CAJICA,8
07/01/2022,25,CUNDINAMARCA,25214,COTA,2
07/01/2022,25,CUNDINAMARCA,25295,GACHANCIPA,1
07/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,2
08/01/2022,25,CUNDINAMARCA,25126,CAJICA,3
08/01/2022,25,CUNDINAMARCA,25175,CHIA,4
08/01/2022,25,CUNDINAMARCA,25214,COTA,2
08/01/2022,25,CUNDINAMARCA,25817,TOCANCIPA,1
09/01/2022,25,CUNDINAMARCA,25126,CAJICA,1
09/01/2022,25,CUNDINAMARCA,25214,COTA,1
09/01/2022,25,CUNDINAMARCA,25758,SOPO,1
09/01/2022,25,CUNDINAMARCA,25817,TOCANCIPA,2
09/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,1
10/01/2022,25,CUNDINAMARCA,25126,CAJICA,3
10/01/2022,25,CUNDINAMARCA,25175,CHIA,1
10/01/2022,25,CUNDINAMARCA,25758,SOPO,1
10/01/2022,25,CUNDINAMARCA,25785,TABIO,1
10/01/2022,25,CUNDINAMARCA,25799,TENJO,1
10/01/2022,25,CUNDINAMARCA,25817,TOCANCIPA,1
11/01/2022,25,CUNDINAMARCA,25126,CAJICA,2
11/01/2022,25,CUNDINAMARCA,25214,COTA,3
11/01/2022,25,CUNDINAMARCA,25758,SOPO,1
11/01/2022,25,CUNDINAMARCA,25817,TOCANCIPA,2
11/01/2022,25,CUNDINAMARCA,25899,ZIPAQUIRA,1
12/01/2022,25,CUNDINAMARCA,25126,CAJICA,3
12/01/2022,25,CUNDINAMARCA,25214,COTA,3
12/01/2022,25,CUNDINAMARCA,25799,TENJO,1
12/01/2022,25,CUNDINAMARCA,25817,TOCANCIPA,2
